state	house	senate	input
Kansas	669.6	4229.1	1020.61
Louisiana	478.29	1704.7	400.74
California	99.95		96.01
Delaware		4474.06	2237.03
Massachusetts	475.89		380.71
Missouri	4503.98	6636.02	3071.05
Montana	5058.15	7703.75	3162.6
Colorado	927.17	21398.41	1016.83
Arizona	372.0		318.86
Wisconsin	608.64	508794.35	690.29
Oklahoma	2079.18	14486.39	2257.11
South Dakota		30984.16	15492.08
New Hampshire		10898.94	4087.1
Maryland	8291.57	4834.98	2109.46
Utah	816.95		565.58
South Carolina	653.45		560.1
Illinois	414.05	2564.26	376.92
Minnesota	454.28	26077.58	428.07
Connecticut	1109.13		862.66
Oregon	1362.69	14835.82	1661.29
Arkansas	1885.21	2232.0	1296.12
Idaho	2798.39	36788.0	1814.38
Rhode Island	4080.25	4446.9	1870.05
Virginia	388.52	39855.65	404.9
Pennsylvania	298.01	6624.38	326.15
Washington	4983.99	3348.0	1249.96
Ohio	506.76	58469.58	571.62
Hawaii	3836.69		2557.79
Alaska		6393.97	4795.48
Wyoming		5951.97	4463.98
Kentucky	882.38	6243.36	771.43
Vermont	8591.16		2863.72
New York	280.39		275.29
New Mexico		1674.0	608.73
North Carolina	401.31	2301.9	326.52
Maine	56150.16	3568.47	1578.92
North Dakota		21222.33	14148.22
Alabama	870.95	2242.16	652.7
New Jersey	431.05	2862.95	365.48
Nevada	673.07	1727.18	518.99
Iowa	601.6		483.06
Tennessee	2396.08	13282.8	2075.62
West Virginia	1782.98	2429.78	1032.74
Georgia	418.16	2097.82	377.57
Florida	154.28	162647.48	245.39
Michigan	398.07	2945.98	337.01
Texas	429.03	12088.9	417.29
District of Columbia	38305.02		38305.02
Mississippi	2394.07	3956.39	1405.4
Indiana	1087.08		931.79
