state	house	senate	input
New Jersey	54.14	3.25	46.31
Kansas	3.7	211.0	55.83
Iowa	15.67		12.53
Ohio	3.54	4.5	3.61
Connecticut	28.0		21.78
Oklahoma	32.82	76.33	45.38
Georgia	8.23	479.33	93.64
Montana	99.4	0.25	62.25
Massachusetts	19.56		15.65
Virginia	33.52	17.33	31.65
North Dakota		53.5	35.67
Oregon	56.86	130.5	73.22
Missouri	3.5	2.67	3.33
South Carolina	2.42		2.07
New York	3.35		3.29
Alaska		9.0	6.75
Pennsylvania	2.56	99.5	7.66
Wisconsin	2.71	0.67	2.5
Louisiana	0.64	42.0	10.41
Hawaii	1.5		1.0
Arkansas	1.29	0.67	1.22
Minnesota	30.29	8.0	26.95
Kentucky	14.89	11.5	14.27
Michigan	10.19	47.67	13.91
Wyoming		2.67	2.0
West Virginia	31.67	130.67	72.75
Utah	31.33		21.69
Alabama	4.0	55.8	19.24
Maine	1.25	157.33	68.14
Vermont	49.0		16.33
Arizona	0.33		0.29
Illinois	10.24	7.33	10.29
Mississippi	0.67	2.67	1.33
Tennessee	50.29	21.75	46.53
Indiana	6.72		5.76
California	23.51		22.53
New Mexico		0.5	0.18
District of Columbia	4.0		4.0
Rhode Island	56.67	457.5	217.0
Delaware		494.5	247.25
New Hampshire		1.0	0.38
Nevada	62.0	1.2	48.15
South Dakota		3.67	1.83
Texas	15.75	4.0	15.45
Colorado	14.18	7.25	13.21
Maryland	1.08	7.33	2.4
North Carolina	12.38	33.0	14.52
Idaho	9.0	0.5	5.6
Florida	20.14	56.33	21.95
Washington	9.94	83.0	18.06
