Age	house	senate	input
26	1		1
33	1		1
34	1		1
37	3		3
38	4		4
39	1		1
41	4		4
42	2		2
43	4		4
44	1		1
45	2		2
46	3		3
47	2		2
48	4		4
49	2		2
50	3		3
51	3	2	5
52	2	1	3
53	5		5
54	1	1	2
55	7		7
56	2		2
57	5	2	7
58	5	1	6
59	7	2	9
60	9	1	10
61	3	4	7
62	1	1	2
63	3	3	6
64	3	4	7
65	5	1	6
66	3	4	7
67	6	5	11
68	6	1	7
69	6	3	9
70	4	5	9
71	5	2	7
72	3	5	8
73	5	1	6
74	5	1	6
75	2	2	4
76	3	1	4
77	2		2
78	1	3	4
80		1	1
81	3	1	4
82	1		1
84	2	1	3
85	1	1	2
87		2	2
88		1	1
