amount,female,male,sort_key
Unknown,87,378,-1
"$1,001 -",7,235,1001
"$1,001 - $15,000",3700,11425,15000
"$15,001 - $50,000",536,3114,50000
"$50,001 - $100,000",137,1069,100000
"$100,001 - $250,000",150,682,250000
"$250,001 - $500,000",76,257,500000
"$500,001 - $1,000,000",50,181,1000000
"$1,000,001 - $5,000,000",22,44,5000000
"$5,000,001 - $25,000,000",13,16,25000000
"$25,000,001 - $50,000,000",5,4,50000000
"Over $50,000,000",0,3,50000001
"$50,000,000 - $100,000,000",2,2,100000000
