sector,transaction_date,number_of_transactions
Financial Services,2020/03/18,65
Consumer Cyclical,2020/03/18,48
Industrials,2020/03/18,39
Technology,2019/06/24,37
Healthcare,2019/06/24,32
Energy,2020/06/10,31
Fund,2020/04/02,28
Consumer Defensive,2020/03/18,28
Basic Materials,2020/03/18,17
Utilities,2020/03/16,17
Real Estate,2020/03/18,16
Communication Services,2021/02/11,11
Services,2020/04/01,6
Cryptocurrency,2021/05/12,3
Trust,2019/06/26,3
Financial,2014/05/07,3
Information Technology,2020/02/11,2
Consumer Goods,2015/02/13,2
Communications,2021/02/16,1
Induistrial,2020/11/26,1
Retail/Wholesale,2020/11/13,1
Industrial Goods,2014/06/18,1
