official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Allen, Richard W.",0,23,14,1,38
"Amash, Justin",0,3,0,0,3
"Arenholz, Ashley H.",0,4,10,0,14
"Axne, Cynthia",5,113,43,13,174
"Banks, James E.",0,28,16,8,52
"Beyer, Donald S.",0,330,340,0,670
"Bice, Stephanie",0,0,1,0,1
"Bilirakis, Gus M.",0,0,4,0,4
"Blumenauer, Earl",4,82,36,16,138
"Brooks, Mo",0,16,25,1,42
"Brooks, Susan W.",1,12,0,1,14
"Buchanan, Vern",0,12,21,0,33
"Buck, Kenneth R.",0,0,1,0,1
"Bucshon, Larry",0,1,0,0,1
"Burchett, Tim",0,0,1,0,1
"Burgess, Michael C.",0,3,0,6,9
"Bustos, Cheri",0,1,8,1,10
"Carter, Earl L.",0,7,2,4,13
"Case, Ed",0,4,5,0,9
"Castor, Kathy",0,30,7,1,38
"Cawthorn, David M.",0,0,1,0,1
"Chabot, Steve",2,0,0,0,2
"Chu, Judy",0,0,0,1,1
"Cisneros, Gilbert",11,420,140,212,783
"Clark, Katherine M.",0,100,136,7,243
"Clay Jr., William L.",0,0,2,0,2
"Cohen, Steve",0,1,49,0,50
"Comer, James",0,6,5,0,11
"Conaway, K. M.",30,128,67,15,240
"Connolly, Gerald E.",0,1,1,16,18
"Courtney, Joe",0,91,68,3,162
"Cox, TJ J.",0,0,0,1,1
"Crenshaw, Daniel",0,13,5,2,20
"Curtis, John",1,125,20,25,171
"Davis, Susan A.",0,13,3,2,18
"DelBene, Suzan K.",1,85,23,15,124
"Diaz-Balart, Mario",0,0,1,0,1
"Dingell, Debbie",5,5,11,5,26
"Doggett, Lloyd",0,44,0,0,44
"Dunn, Neal P.",0,13,12,5,30
"Evans, Dwight",0,31,14,12,57
"Fallon, Patrick",0,33,56,0,89
"Fleischmann, Charles J.",0,39,35,0,74
"Flores, Bill",0,2,1,0,3
"Foxx, Virginia",0,128,11,1,140
"Frankel, Lois",1,145,36,109,291
"Franklin, Scott",1,3,10,2,16
"Gaetz, Matt",1,0,2,0,3
"Gallagher, Michael J.",0,0,37,1,38
"Garbarino, Andrew",0,5,7,1,13
"Garcia, Mike",1,17,19,6,43
"Gianforte, Greg",0,313,55,129,497
"Gibbs, Bob",0,23,13,1,37
"Gonzalez, Anthony E.",0,3,3,0,6
"Gottheimer, Josh",2,391,163,335,891
"Graves, Garret",0,5,4,0,9
"Green, Mark",0,438,112,1,551
"Greene, Marjorie T.",0,74,14,0,88
"Grijalva, Raúl M.",0,2,2,0,4
"Guest, Michael P.",0,3,1,0,4
"Hagedorn, James",0,0,1,0,1
"Hern, Kevin",18,320,21,1,360
"Higgins, Brian",0,1,2,0,3
"Hill, James F.",0,4,5,0,9
"Holding, George",0,0,13,0,13
"Hollingsworth, Trey",0,42,2,0,44
"Huizenga, Bill",0,1,0,0,1
"Jacobs, Christopher L.",2,20,44,20,86
"Jacobs, Sara",0,8,52,3,63
"Jeffries, Hakeem S.",0,4,1,2,7
"Joyce, David P.",0,33,13,0,46
"Keating, William R.",0,61,3,0,64
"Kelly, Mike",0,8,6,0,14
"Kennedy, Joseph P.",0,0,2,0,2
"Khanna, Rohit",2,217,24,54,297
"Kinzinger, Adam",0,14,9,1,24
"Krishnamoorthi, S. R.",1,0,0,0,1
"Kustoff, David",0,6,3,0,9
"Lamborn, Doug",0,58,50,0,108
"Langevin, James R.",0,85,63,22,170
"Larson, John B.",0,0,34,0,34
"Latta, Robert E.",0,1,0,0,1
"Lee, Susie",1,339,138,142,620
"Lofgren, Zoe",1,106,76,1,184
"Long, Billy",0,0,28,0,28
"Lowenthal, Alan S.",12,246,97,229,584
"Luria, Elaine",0,3,1,0,4
"Malinowski, Tom",0,61,29,36,126
"Maloney, Carolyn B.",0,4,1,2,7
"Maloney, Sean P.",0,0,8,0,8
"Manning, Kathy",0,38,2,28,68
"Marchant, Kenny",0,70,39,0,109
"Marshall, Roger W.",0,21,15,1,37
"Massie, Thomas",0,0,0,1,1
"Mast, Brian",0,19,14,4,37
"Matsui, Doris O.",0,6,9,0,15
"McCaul, Michael T.",0,213,183,2,398
"McEachin, Aston D.",0,6,0,0,6
"McHenry, Patrick T.",0,0,1,0,1
"McKinley, David B.",3,80,33,32,148
"Meijer, Peter",0,18,201,47,266
"Meng, Grace",1,0,0,0,1
"Meuser, Daniel",0,0,5,5,10
"Miller, Carol D.",0,24,18,0,42
"Moore, Blake",0,90,21,0,111
"Moore, Felix B.",0,5,0,1,6
"Morelle, Joseph D.",1,0,16,0,17
"Moulton, Seth",0,1,1,0,2
"Newhouse, Dan",0,0,1,0,1
"Newman, Marie",0,146,150,0,296
"Norton, Eleanor H.",0,2,2,0,4
"O'Halleran, Tom",0,0,2,0,2
"Pallone, Frank",0,0,6,4,10
"Pascrell, Bill",0,0,3,0,3
"Pelosi, Nancy",0,41,5,11,57
"Perlmutter, Ed",0,21,9,17,47
"Peters, Scott H.",0,29,45,27,101
"Pfluger, August L.",2,6,4,0,12
"Phillips, Dean",3,268,85,158,514
"Pingree, Chellie",0,2,1,2,5
"Price, David E.",3,11,1,0,15
"Raskin, Jamie",0,0,1,0,1
"Rice, Tom",0,2,9,0,11
"Roe, David P.",0,17,2,0,19
"Rogers, Harold D.",2,10,8,0,20
"Rooney, Francis",0,40,17,3,60
"Ross, Deborah K.",0,19,0,1,20
"Rouda, Harley E.",0,2,5,0,7
"Rouzer, David C.",0,4,3,4,11
"Rutherford, John",0,20,28,0,48
"Sanchez, Linda T.",0,0,5,0,5
"Schiff, Adam B.",0,0,3,1,4
"Schneider, Bradley S.",0,0,0,7,7
"Schrader, Kurt",0,132,127,1,260
"Schrier, Kim",0,3,31,0,34
"Schultz, Debbie W.",0,10,0,0,10
"Scott, Austin",0,40,30,5,75
"Scott, Robert C.",0,0,17,0,17
"Sessions, Pete",0,37,2,0,39
"Shalala, Donna",1,173,317,76,567
"Sherrill, Mikie",0,24,136,1,161
"Simpson, Michael K.",0,7,19,1,27
"Smucker, Lloyd K.",0,0,0,11,11
"Spanberger, Abigail",0,2,0,0,2
"Spartz, Victoria",0,5,2,1,8
"Steube, William G.",0,5,0,1,6
"Suozzi, Thomas",0,16,20,3,39
"Taylor, Nicholas V.",1,0,20,0,21
"Timmons, William R.",0,4,14,0,18
"Trahan, Lori",0,0,2,0,2
"Trone, David",0,1,10,2,13
"Upton, Fred",1,9,10,0,20
"Visclosky, Peter J.",0,0,0,2,2
"Wagner, Ann",0,12,0,0,12
"Waltz, Michael",0,2,2,0,4
"Welch, Peter",0,8,37,4,49
"Wittman, Robert J.",0,31,20,3,54
"Yarmuth, John A.",0,45,11,46,102
