official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Alexander, Lamar",0,36,21,2,59
"Barrasso, John A.",0,0,1,0,1
"Bennet, Michael F.",1,5,1,1,8
"Blumenthal, Richard",0,0,0,0,50
"Blunt, Roy D.",0,1,7,0,10
"Booker, Cory A.",0,0,13,0,13
"Boozman, John",0,1,1,0,46
"Burr, Richard M.",0,0,0,0,97
"Cantwell, Maria E.",0,0,0,5,7
"Capito, Shelley M.",11,223,108,38,380
"Cardin, Benjamin L.",0,5,10,0,21
"Carper, Thomas R.",4,554,294,108,980
"Casey Jr., Robert P.",0,0,0,1,1
"Cassidy, William",0,66,45,55,166
"Cochran, Thad",0,0,0,0,22
"Collins, Susan M.",4,171,173,47,450
"Coons, Christopher A.",0,2,4,23,30
"Cornyn, John",0,1,1,0,2
"Crapo, Michael D.",0,1,0,0,1
"Cruz, Rafael E.",0,3,2,5,13
"Daines, Steve",0,0,1,0,1
"Duckworth, Ladda T.",1,1,19,1,22
"Enzi, Michael B.",0,4,1,0,7
"Feinstein, Dianne",0,0,0,0,29
"Hagerty IV, William F.",1,9,10,8,28
"Hickenlooper, John W.",1,7,10,3,21
"Hoeven, John",6,142,59,7,226
"Hollen, Chris V.",0,0,7,0,7
"Inhofe, James M.",0,85,87,57,230
"Johnson, Ron",0,0,2,0,2
"Kaine, Timothy M.",2,0,1,0,3
"Kennedy, John N.",1,1,0,0,2
"King Jr., Angus S.",2,25,39,11,85
"Loeffler, Kelly",1,98,125,55,279
"Lummis, Cynthia M.",0,2,0,0,2
"Manchin III, Joseph",0,12,0,0,12
"Marshall, Roger W.",0,0,1,0,1
"McConnell Jr., A. M.",0,17,3,2,22
"Moran, Jerry",1,95,33,45,174
"Murray, Patty",0,78,83,0,161
"Paul, Rand",0,1,0,0,1
"Perdue Jr., David A.",14,1269,259,1055,2597
"Peters, Gary C.",11,121,9,2,143
"Portman, Robert J.",0,0,9,0,11
"Reed, Jack",0,0,0,0,1
"Reed, John F.",2,104,86,48,250
"Roberts, Pat",0,284,157,17,477
"Rosen, Jacklyn S.",5,0,1,0,6
"Rounds, Mike",0,9,1,0,10
"Scott, Rick",4,143,22,0,169
"Shaheen, Jeanne",0,3,0,0,3
"Shelby, Richard C.",0,0,0,0,1
"Smith, Tina",0,6,7,11,24
"Sullivan, Daniel S.",0,6,4,17,27
"Thune, John R.",1,0,0,0,1
"Tillis, Thomas R.",0,0,96,3,99
"Toomey, Patrick J.",12,83,45,58,206
"Tuberville, Thomas H.",0,122,154,3,279
"Udall, Thomas S.",0,0,1,1,3
"Warner, Mark R.",0,16,27,6,98
"Warren, Elizabeth",0,0,0,0,1
"Whitehouse, Sheldon",13,384,188,90,693
"Wicker, Roger F.",0,2,5,1,8
"Wyden, Ronald L.",0,221,38,2,262
